# Transmission tube source spectra, Geant4 physics model G4EmStandardPhysics-option4.
# Tungsten target on a 250 um diamond substrate; simulated for the XCal paper (Optics Express 2025).
# apex_angle_deg: anode apex angle; voltage_kV: tube voltage; target_thickness_um: tungsten thickness;
# energy_keV: bin center; photons: relative photon count per 0.1 keV bin (absolute scale not used).
apex_angle_deg,voltage_kV,target_thickness_um,energy_keV,photons
1.7,80,1,15.2,19983919.51
1.7,80,1,15.3,19412950.38
1.7,80,1,15.4,19698434.95
1.7,80,1,15.5,17129073.87
1.7,80,1,15.6,19698434.95
1.7,80,1,15.7,18271012.12
1.7,80,1,15.8,21125857.77
1.7,80,1,15.9,21982311.46
1.7,80,1,16,18841981.25
1.7,80,1,16.1,17414558.43
1.7,80,1,16.2,17129073.87
1.7,80,1,16.3,18271012.12
1.7,80,1,16.4,16843589.3
1.7,80,1,16.5,19412950.38
1.7,80,1,16.6,14845197.35
1.7,80,1,16.7,13703259.09
1.7,80,1,16.8,17700042.99
1.7,80,1,16.9,16843589.3
1.7,80,1,17,19983919.51
1.7,80,1,17.1,18841981.25
1.7,80,1,17.2,17414558.43
1.7,80,1,17.3,18556496.69
1.7,80,1,17.4,15987135.61
1.7,80,1,17.5,17129073.87
1.7,80,1,17.6,19698434.95
1.7,80,1,17.7,13988743.66
1.7,80,1,17.8,14559712.79
1.7,80,1,17.9,16558104.74
1.7,80,1,18,15987135.61
1.7,80,1,18.1,15130681.91
1.7,80,1,18.2,13988743.66
1.7,80,1,18.3,13703259.09
1.7,80,1,18.4,14845197.35
1.7,80,1,18.5,18841981.25
1.7,80,1,18.6,14274228.22
1.7,80,1,18.7,17700042.99
1.7,80,1,18.8,15701651.04
1.7,80,1,18.9,15416166.48
1.7,80,1,19,14274228.22
1.7,80,1,19.1,16558104.74
1.7,80,1,19.2,17129073.87
1.7,80,1,19.3,12561320.83
1.7,80,1,19.4,14274228.22
1.7,80,1,19.5,15416166.48
1.7,80,1,19.6,13703259.09
1.7,80,1,19.7,17414558.43
1.7,80,1,19.8,11419382.58
1.7,80,1,19.9,19698434.95
1.7,80,1,20,16272620.17
1.7,80,1,20.1,15701651.04
1.7,80,1,20.2,15130681.91
1.7,80,1,20.3,13417774.53
1.7,80,1,20.4,13703259.09
1.7,80,1,20.5,15416166.48
1.7,80,1,20.6,15130681.91
1.7,80,1,20.7,15701651.04
1.7,80,1,20.8,15416166.48
1.7,80,1,20.9,12846805.4
1.7,80,1,21,12561320.83
1.7,80,1,21.1,15130681.91
1.7,80,1,21.2,15701651.04
1.7,80,1,21.3,15130681.91
1.7,80,1,21.4,11704867.14
1.7,80,1,21.5,15416166.48
1.7,80,1,21.6,10277444.32
1.7,80,1,21.7,14559712.79
1.7,80,1,21.8,13132289.96
1.7,80,1,21.9,11133898.01
1.7,80,1,22,12846805.4
1.7,80,1,22.1,10848413.45
1.7,80,1,22.2,9991959.755
1.7,80,1,22.3,14559712.79
1.7,80,1,22.4,13988743.66
1.7,80,1,22.5,13417774.53
1.7,80,1,22.6,10277444.32
1.7,80,1,22.7,15130681.91
1.7,80,1,22.8,10562928.88
1.7,80,1,22.9,11419382.58
1.7,80,1,23,12561320.83
1.7,80,1,23.1,15130681.91
1.7,80,1,23.2,13988743.66
1.7,80,1,23.3,11133898.01
1.7,80,1,23.4,10848413.45
1.7,80,1,23.5,10562928.88
1.7,80,1,23.6,13132289.96
1.7,80,1,23.7,10848413.45
1.7,80,1,23.8,8850021.497
1.7,80,1,23.9,11704867.14
1.7,80,1,24,10562928.88
1.7,80,1,24.1,9135506.062
1.7,80,1,24.2,9991959.755
1.7,80,1,24.3,8850021.497
1.7,80,1,24.4,13703259.09
1.7,80,1,24.5,9135506.062
1.7,80,1,24.6,14559712.79
1.7,80,1,24.7,14845197.35
1.7,80,1,24.8,8564536.933
1.7,80,1,24.9,12275836.27
1.7,80,1,25,11990351.71
1.7,80,1,25.1,11704867.14
1.7,80,1,25.2,11990351.71
1.7,80,1,25.3,9135506.062
1.7,80,1,25.4,10848413.45
1.7,80,1,25.5,10562928.88
1.7,80,1,25.6,12275836.27
1.7,80,1,25.7,13417774.53
1.7,80,1,25.8,11133898.01
1.7,80,1,25.9,9706475.191
1.7,80,1,26,11133898.01
1.7,80,1,26.1,11704867.14
1.7,80,1,26.2,10277444.32
1.7,80,1,26.3,9135506.062
1.7,80,1,26.4,8850021.497
1.7,80,1,26.5,13132289.96
1.7,80,1,26.6,11133898.01
1.7,80,1,26.7,7422598.675
1.7,80,1,26.8,5995175.853
1.7,80,1,26.9,12846805.4
1.7,80,1,27,9706475.191
1.7,80,1,27.1,9135506.062
1.7,80,1,27.2,13417774.53
1.7,80,1,27.3,6566144.982
1.7,80,1,27.4,11704867.14
1.7,80,1,27.5,8564536.933
1.7,80,1,27.6,10562928.88
1.7,80,1,27.7,11133898.01
1.7,80,1,27.8,12275836.27
1.7,80,1,27.9,8850021.497
1.7,80,1,28,9420990.626
1.7,80,1,28.1,11704867.14
1.7,80,1,28.2,10848413.45
1.7,80,1,28.3,8279052.369
1.7,80,1,28.4,9706475.191
1.7,80,1,28.5,10277444.32
1.7,80,1,28.6,6851629.546
1.7,80,1,28.7,8564536.933
1.7,80,1,28.8,11133898.01
1.7,80,1,28.9,9420990.626
1.7,80,1,29,11419382.58
1.7,80,1,29.1,7137114.111
1.7,80,1,29.2,12846805.4
1.7,80,1,29.3,7708083.24
1.7,80,1,29.4,10848413.45
1.7,80,1,29.5,7422598.675
1.7,80,1,29.6,7137114.111
1.7,80,1,29.7,5995175.853
1.7,80,1,29.8,7422598.675
1.7,80,1,29.9,11419382.58
1.7,80,1,30,10277444.32
1.7,80,1,30.1,12561320.83
1.7,80,1,30.2,9420990.626
1.7,80,1,30.3,11990351.71
1.7,80,1,30.4,7137114.111
1.7,80,1,30.5,11133898.01
1.7,80,1,30.6,9420990.626
1.7,80,1,30.7,5138722.16
1.7,80,1,30.8,9420990.626
1.7,80,1,30.9,9135506.062
1.7,80,1,31,7137114.111
1.7,80,1,31.1,9420990.626
1.7,80,1,31.2,5995175.853
1.7,80,1,31.3,9135506.062
1.7,80,1,31.4,8564536.933
1.7,80,1,31.5,7708083.24
1.7,80,1,31.6,9135506.062
1.7,80,1,31.7,8279052.369
1.7,80,1,31.8,5709691.289
1.7,80,1,31.9,8564536.933
1.7,80,1,32,9706475.191
1.7,80,1,32.1,9706475.191
1.7,80,1,32.2,9991959.755
1.7,80,1,32.3,7422598.675
1.7,80,1,32.4,7422598.675
1.7,80,1,32.5,8564536.933
1.7,80,1,32.6,7708083.24
1.7,80,1,32.7,8850021.497
1.7,80,1,32.8,8279052.369
1.7,80,1,32.9,7422598.675
1.7,80,1,33,11133898.01
1.7,80,1,33.1,11133898.01
1.7,80,1,33.2,11133898.01
1.7,80,1,33.3,8850021.497
1.7,80,1,33.4,5424206.724
1.7,80,1,33.5,8279052.369
1.7,80,1,33.6,7993567.804
1.7,80,1,33.7,10277444.32
1.7,80,1,33.8,8279052.369
1.7,80,1,33.9,6851629.546
1.7,80,1,34,10277444.32
1.7,80,1,34.1,9706475.191
1.7,80,1,34.2,5424206.724
1.7,80,1,34.3,8279052.369
1.7,80,1,34.4,7993567.804
1.7,80,1,34.5,7137114.111
1.7,80,1,34.6,5709691.289
1.7,80,1,34.7,7422598.675
1.7,80,1,34.8,7422598.675
1.7,80,1,34.9,7993567.804
1.7,80,1,35,9991959.755
1.7,80,1,35.1,9135506.062
1.7,80,1,35.2,7422598.675
1.7,80,1,35.3,5424206.724
1.7,80,1,35.4,8279052.369
1.7,80,1,35.5,5709691.289
1.7,80,1,35.6,7422598.675
1.7,80,1,35.7,6851629.546
1.7,80,1,35.8,3425814.773
1.7,80,1,35.9,7993567.804
1.7,80,1,36,6851629.546
1.7,80,1,36.1,7137114.111
1.7,80,1,36.2,8564536.933
1.7,80,1,36.3,7708083.24
1.7,80,1,36.4,3996783.902
1.7,80,1,36.5,6851629.546
1.7,80,1,36.6,6280660.417
1.7,80,1,36.7,5709691.289
1.7,80,1,36.8,6280660.417
1.7,80,1,36.9,9706475.191
1.7,80,1,37,7422598.675
1.7,80,1,37.1,3996783.902
1.7,80,1,37.2,6280660.417
1.7,80,1,37.3,9135506.062
1.7,80,1,37.4,6280660.417
1.7,80,1,37.5,7708083.24
1.7,80,1,37.6,5995175.853
1.7,80,1,37.7,7422598.675
1.7,80,1,37.8,7422598.675
1.7,80,1,37.9,7708083.24
1.7,80,1,38,5424206.724
1.7,80,1,38.1,7422598.675
1.7,80,1,38.2,7708083.24
1.7,80,1,38.3,8850021.497
1.7,80,1,38.4,7137114.111
1.7,80,1,38.5,7993567.804
1.7,80,1,38.6,9135506.062
1.7,80,1,38.7,5995175.853
1.7,80,1,38.8,6280660.417
1.7,80,1,38.9,6566144.982
1.7,80,1,39,4282268.466
1.7,80,1,39.1,7993567.804
1.7,80,1,39.2,8279052.369
1.7,80,1,39.3,6566144.982
1.7,80,1,39.4,7422598.675
1.7,80,1,39.5,7993567.804
1.7,80,1,39.6,5995175.853
1.7,80,1,39.7,8279052.369
