# Transmission tube source spectra, Geant4 physics model G4EmPenelopePhysics.
# Tungsten target on a 250 um diamond substrate; simulated for the XCal paper (Optics Express 2025).
# apex_angle_deg: anode apex angle; voltage_kV: tube voltage; target_thickness_um: tungsten thickness;
# energy_keV: bin center; photons: relative photon count per 0.1 keV bin (absolute scale not used).
apex_angle_deg,voltage_kV,target_thickness_um,energy_keV,photons
1.7,80,1,19.5,15887626.61
1.7,80,1,19.6,14359970.2
1.7,80,1,19.7,15276564.04
1.7,80,1,19.8,12526782.52
1.7,80,1,19.9,10999126.11
1.7,80,1,20,12221251.24
1.7,80,1,20.1,13748907.64
1.7,80,1,20.2,14665501.48
1.7,80,1,20.3,11304657.39
1.7,80,1,20.4,16804220.45
1.7,80,1,20.5,10999126.11
1.7,80,1,20.6,12832313.8
1.7,80,1,20.7,13748907.64
1.7,80,1,20.8,11304657.39
1.7,80,1,20.9,9165938.427
1.7,80,1,21,10999126.11
1.7,80,1,21.1,15887626.61
1.7,80,1,21.2,14054438.92
1.7,80,1,21.3,12832313.8
1.7,80,1,21.4,11915719.95
1.7,80,1,21.5,11915719.95
1.7,80,1,21.6,13137845.08
1.7,80,1,21.7,12221251.24
1.7,80,1,21.8,12832313.8
1.7,80,1,21.9,13748907.64
1.7,80,1,22,9777000.988
1.7,80,1,22.1,11610188.67
1.7,80,1,22.2,13748907.64
1.7,80,1,22.3,8860407.146
1.7,80,1,22.4,10693594.83
1.7,80,1,22.5,10082532.27
1.7,80,1,22.6,11610188.67
1.7,80,1,22.7,11304657.39
1.7,80,1,22.8,14054438.92
1.7,80,1,22.9,9471469.707
1.7,80,1,23,9777000.988
1.7,80,1,23.1,10999126.11
1.7,80,1,23.2,12526782.52
1.7,80,1,23.3,12221251.24
1.7,80,1,23.4,6416156.899
1.7,80,1,23.5,10693594.83
1.7,80,1,23.6,12526782.52
1.7,80,1,23.7,12221251.24
1.7,80,1,23.8,10082532.27
1.7,80,1,23.9,11610188.67
1.7,80,1,24,10388063.55
1.7,80,1,24.1,10388063.55
1.7,80,1,24.2,11610188.67
1.7,80,1,24.3,11304657.39
1.7,80,1,24.4,14054438.92
1.7,80,1,24.5,11915719.95
1.7,80,1,24.6,7332750.741
1.7,80,1,24.7,10999126.11
1.7,80,1,24.8,12221251.24
1.7,80,1,24.9,8554875.865
1.7,80,1,25,9165938.427
1.7,80,1,25.1,7943813.303
1.7,80,1,25.2,9777000.988
1.7,80,1,25.3,7027219.46
1.7,80,1,25.4,8554875.865
1.7,80,1,25.5,8249344.584
1.7,80,1,25.6,8249344.584
1.7,80,1,25.7,10693594.83
1.7,80,1,25.8,9777000.988
1.7,80,1,25.9,9471469.707
1.7,80,1,26,9777000.988
1.7,80,1,26.1,8860407.146
1.7,80,1,26.2,8860407.146
1.7,80,1,26.3,10082532.27
1.7,80,1,26.4,6721688.179
1.7,80,1,26.5,10082532.27
1.7,80,1,26.6,10999126.11
1.7,80,1,26.7,11610188.67
1.7,80,1,26.8,11610188.67
1.7,80,1,26.9,6721688.179
1.7,80,1,27,10082532.27
1.7,80,1,27.1,9165938.427
1.7,80,1,27.2,8249344.584
1.7,80,1,27.3,8554875.865
1.7,80,1,27.4,7943813.303
1.7,80,1,27.5,8554875.865
1.7,80,1,27.6,9777000.988
1.7,80,1,27.7,6721688.179
1.7,80,1,27.8,7332750.741
1.7,80,1,27.9,9165938.427
1.7,80,1,28,8860407.146
1.7,80,1,28.1,8860407.146
1.7,80,1,28.2,6110625.618
1.7,80,1,28.3,5194031.775
1.7,80,1,28.4,5194031.775
1.7,80,1,28.5,7027219.46
1.7,80,1,28.6,9165938.427
1.7,80,1,28.7,7943813.303
1.7,80,1,28.8,8554875.865
1.7,80,1,28.9,7638282.022
1.7,80,1,29,7943813.303
1.7,80,1,29.1,7027219.46
1.7,80,1,29.2,7027219.46
1.7,80,1,29.3,7332750.741
1.7,80,1,29.4,6721688.179
1.7,80,1,29.5,8249344.584
1.7,80,1,29.6,7332750.741
1.7,80,1,29.7,6110625.618
1.7,80,1,29.8,6416156.899
1.7,80,1,29.9,7027219.46
1.7,80,1,30,8249344.584
1.7,80,1,30.1,7332750.741
1.7,80,1,30.2,8860407.146
1.7,80,1,30.3,7943813.303
1.7,80,1,30.4,7943813.303
1.7,80,1,30.5,7332750.741
1.7,80,1,30.6,7943813.303
1.7,80,1,30.7,6110625.618
1.7,80,1,30.8,4582969.213
1.7,80,1,30.9,13137845.08
1.7,80,1,31,8554875.865
1.7,80,1,31.1,7638282.022
1.7,80,1,31.2,5499563.056
1.7,80,1,31.3,7638282.022
1.7,80,1,31.4,9165938.427
1.7,80,1,31.5,7943813.303
1.7,80,1,31.6,6721688.179
1.7,80,1,31.7,8860407.146
1.7,80,1,31.8,7638282.022
1.7,80,1,31.9,6416156.899
1.7,80,1,32,10388063.55
1.7,80,1,32.1,6416156.899
1.7,80,1,32.2,7332750.741
1.7,80,1,32.3,8249344.584
1.7,80,1,32.4,4888500.494
1.7,80,1,32.5,6721688.179
1.7,80,1,32.6,6721688.179
1.7,80,1,32.7,9165938.427
1.7,80,1,32.8,7943813.303
1.7,80,1,32.9,6416156.899
1.7,80,1,33,9471469.707
1.7,80,1,33.1,7638282.022
1.7,80,1,33.2,8554875.865
1.7,80,1,33.3,6110625.618
1.7,80,1,33.4,6721688.179
1.7,80,1,33.5,4888500.494
1.7,80,1,33.6,6721688.179
1.7,80,1,33.7,5805094.337
1.7,80,1,33.8,5805094.337
1.7,80,1,33.9,6416156.899
1.7,80,1,34,10388063.55
1.7,80,1,34.1,4582969.213
1.7,80,1,34.2,7943813.303
1.7,80,1,34.3,10999126.11
1.7,80,1,34.4,5194031.775
1.7,80,1,34.5,6721688.179
1.7,80,1,34.6,8554875.865
1.7,80,1,34.7,5499563.056
1.7,80,1,34.8,7638282.022
1.7,80,1,34.9,7332750.741
1.7,80,1,35,6416156.899
1.7,80,1,35.1,5805094.337
1.7,80,1,35.2,5805094.337
1.7,80,1,35.3,7943813.303
1.7,80,1,35.4,5805094.337
1.7,80,1,35.5,5805094.337
1.7,80,1,35.6,4888500.494
1.7,80,1,35.7,5499563.056
1.7,80,1,35.8,6416156.899
1.7,80,1,35.9,7332750.741
1.7,80,1,36,5805094.337
1.7,80,1,36.1,5194031.775
1.7,80,1,36.2,6110625.618
1.7,80,1,36.3,6721688.179
1.7,80,1,36.4,6416156.899
1.7,80,1,36.5,6721688.179
1.7,80,1,36.6,4582969.213
1.7,80,1,36.7,6416156.899
1.7,80,1,36.8,7332750.741
1.7,80,1,36.9,6416156.899
1.7,80,1,37,7638282.022
1.7,80,1,37.1,7332750.741
1.7,80,1,37.2,6110625.618
1.7,80,1,37.3,6416156.899
1.7,80,1,37.4,6416156.899
1.7,80,1,37.5,4582969.213
1.7,80,1,37.6,6110625.618
1.7,80,1,37.7,6721688.179
1.7,80,1,37.8,5499563.056
1.7,80,1,37.9,6110625.618
1.7,80,1,38,5499563.056
1.7,80,1,38.1,5499563.056
1.7,80,1,38.2,5499563.056
1.7,80,1,38.3,6110625.618
1.7,80,1,38.4,5194031.775
1.7,80,1,38.5,5499563.056
1.7,80,1,38.6,5499563.056
1.7,80,1,38.7,5194031.775
1.7,80,1,38.8,5194031.775
1.7,80,1,38.9,5194031.775
1.7,80,1,39,3360844.09
1.7,80,1,39.1,4582969.213
1.7,80,1,39.2,4582969.213
1.7,80,1,39.3,4582969.213
1.7,80,1,39.4,5805094.337
1.7,80,1,39.5,2444250.247
1.7,80,1,39.6,8249344.584
1.7,80,1,39.7,4888500.494
1.7,80,1,39.8,3360844.09
1.7,80,1,39.9,4277437.932
1.7,80,1,40,5499563.056
1.7,80,1,40.1,6110625.618
1.7,80,1,40.2,5805094.337
1.7,80,1,40.3,5805094.337
